,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
19,399106.SZ,20201009,2215.9609,2189.1501,2219.5966,2187.2513,2149.5403,66.4206,3.09,317690303.0,447093850.5
20,399106.SZ,20200930,2149.5403,2155.4261,2168.9759,2137.4218,2148.4546,1.0857,0.0505,251670816.0,334222912.1
21,399106.SZ,20200929,2148.4546,2139.0389,2159.2925,2130.452,2126.8808,21.5738,1.0143,252446035.0,337689971.6
22,399106.SZ,20200928,2126.8808,2149.7058,2152.3725,2125.7287,2143.0513,-16.1705,-0.7546,251466290.0,330571500.2
23,399106.SZ,20200925,2143.0513,2157.7648,2162.661,2134.7202,2148.0776,-5.0263,-0.234,272817050.0,348702805.0
24,399106.SZ,20200924,2148.0776,2186.6334,2189.9589,2148.0776,2202.1771,-54.0995,-2.4566,344066223.0,421049291.2
25,399106.SZ,20200923,2202.1771,2188.3516,2207.8796,2179.9988,2184.1485,18.0286,0.8254,318235561.0,420011108.9
26,399106.SZ,20200922,2184.1485,2190.4388,2214.775,2177.1269,2208.298,-24.1495,-1.0936,350538221.0,433184427.0
27,399106.SZ,20200921,2208.298,2224.8805,2227.2723,2204.6974,2219.912,-11.614,-0.5232,366642923.0,467385977.7
28,399106.SZ,20200918,2219.912,2187.2382,2221.3468,2180.6616,2186.9865,32.9255,1.5055,392372451.0,498662473.8
29,399106.SZ,20200917,2186.9865,2179.1646,2203.4394,2164.3077,2185.2225,1.764,0.0807,353953413.0,474313751.8
30,399106.SZ,20200916,2185.2225,2201.9061,2202.9026,2173.3592,2205.3593,-20.1368,-0.9131,353245371.0,441995000.9
31,399106.SZ,20200915,2205.3593,2191.3555,2206.1026,2181.668,2189.0966,16.2627,0.7429,390166189.0,473732813.8
32,399106.SZ,20200914,2189.0966,2177.3862,2199.3396,2169.8978,2164.2166,24.88,1.1496,418897620.0,500232824.8
33,399106.SZ,20200911,2164.2166,2119.7925,2166.2362,2119.7924,2129.245,34.9716,1.6424,383940432.0,429697975.5
34,399106.SZ,20200910,2129.245,2193.3145,2198.2266,2124.0135,2175.7707,-46.5257,-2.1384,529890220.0,563505064.9
35,399106.SZ,20200909,2175.7707,2218.3949,2220.6816,2169.0154,2248.2016,-72.4309,-3.2217,637182218.0,695257197.8
36,399106.SZ,20200908,2248.2016,2242.5004,2252.7416,2215.0462,2239.6819,8.5197,0.3804,534063540.0,604152817.7
37,399106.SZ,20200907,2239.6819,2288.6852,2303.8745,2229.7196,2290.4926,-50.8107,-2.2183,541636078.0,663791484.1
38,399106.SZ,20200904,2290.4926,2257.1775,2294.0753,2254.1412,2301.8104,-11.3178,-0.4917,437114877.0,530504764.4
39,399106.SZ,20200903,2301.8104,2317.9773,2327.1446,2293.1137,2321.3966,-19.5862,-0.8437,482940140.0,591494011.2
40,399106.SZ,20200902,2321.3966,2315.8351,2330.9979,2295.2518,2310.8534,10.5432,0.4562,517293505.0,623392804.5
41,399106.SZ,20200901,2310.8534,2290.8762,2310.8534,2279.7208,2295.4906,15.3628,0.6693,399237742.0,524538665.1
42,399106.SZ,20200831,2295.4906,2316.0243,2329.1193,2294.5341,2305.6215,-10.1309,-0.4394,451925309.0,597534960.3
43,399106.SZ,20200828,2305.6215,2256.3937,2308.0922,2251.4681,2261.1633,44.4582,1.9662,441224941.0,568479060.8
44,399106.SZ,20200827,2261.1633,2241.5345,2263.7173,2225.6748,2237.894,23.2693,1.0398,414995079.0,520691035.2
